%% LaTeX2e file `data.csv'
%% generated by the `filecontents' environment
%% from source `plot-curves-read_data+fileio+plot+pgf' on 2020/05/28.
%%
measuring   power1   result1   power2   result2
1           2        0.2       3.5      0.39
2           3        0.35      3.8      0.3
3           4        0.45      7.9      0.35
4           5        0.5       8.5      0.39
5           6        0.65      8.0      0.38
6           7        0.68      8.5      0.4
7           8        0.7       9.5      0.41
8           7.5      0.73      10.5     0.99
9           6.7      0.75      {}       {}
10          10       0.79      {}       {}
